feature,importance
text_emb_375,3436.391011595726
text_emb_98,3431.874627172947
image_emb_459,3431.6284314393997
image_emb_466,3415.4498116374016
text_emb_129,3392.342416882515
image_emb_422,3378.175602734089
text_emb_164,3368.461408853531
text_emb_178,3350.7737136483192
text_emb_304,3347.4356513619423
image_emb_156,3338.5918983221054
image_emb_311,3337.309586942196
image_emb_413,3321.467690229416
text_emb_43,3314.992297053337
image_emb_439,3311.666969537735
text_emb_205,3300.736189842224
text_emb_102,3296.690946161747
text_emb_17,3292.015358746052
text_emb_224,3289.870869398117
image_emb_175,3287.855174958706
text_emb_4,3287.2220544815063
image_emb_461,3275.5345871448517
image_emb_0,3253.544239461422
image_emb_245,3241.0994257330894
text_emb_165,3240.1978018283844
image_emb_388,3216.857404023409
text_emb_377,3199.574842095375
text_emb_288,3196.361679017544
text_emb_368,3185.8102761507034
image_emb_167,3184.7514184117317
image_emb_349,3184.401478111744
text_emb_140,3166.5613911151886
text_emb_200,3164.054427444935
text_emb_152,3162.736316025257
text_emb_307,3159.0191729068756
text_emb_99,3158.5402531027794
image_emb_127,3157.6651917696
text_emb_286,3142.5941432118416
text_emb_12,3142.4709742069244
image_emb_416,3135.9809898734093
image_emb_417,3124.642177462578
text_emb_343,3120.8204127550125
image_emb_398,3116.143480539322
image_emb_150,3102.313227593899
image_emb_33,3101.741440832615
text_emb_195,3090.506598174572
text_emb_173,3085.54642611742
image_emb_449,3082.4571959376335
image_emb_400,3066.396454691887
image_emb_220,3059.377119719982
text_emb_127,3057.169968187809
image_emb_234,3055.338848590851
image_emb_356,3049.5552136301994
image_emb_93,3041.4198853969574
text_emb_263,3033.0736051797867
text_emb_239,3021.695946097374
image_emb_95,3021.5945232510567
text_emb_188,3018.534783422947
image_emb_39,3008.723428785801
text_emb_190,3000.7834827899933
text_emb_8,3000.7469062805176
image_emb_504,2993.7382613420486
image_emb_232,2987.5203437805176
image_emb_104,2982.61930090189
text_emb_121,2971.093721449375
text_emb_64,2960.2861375808716
image_emb_458,2960.2121757268906
image_emb_387,2957.497114032507
text_emb_113,2947.048240661621
image_emb_181,2944.1333716511726
image_emb_284,2943.5461841225624
image_emb_182,2933.5456022024155
image_emb_122,2929.6614432930946
text_emb_303,2928.1392974853516
image_emb_382,2926.5068507790565
text_emb_151,2924.577270627022
image_emb_477,2924.576044768095
image_emb_360,2906.1034874916077
image_emb_162,2890.4301345944405
text_emb_72,2887.516166448593
image_emb_112,2876.9520683288574
text_emb_131,2875.1686378717422
category_electronics,2870.336133480072
image_emb_147,2866.075012564659
text_emb_376,2863.7581171393394
text_emb_135,2859.0081458687782
text_emb_245,2857.7494655251503
image_emb_362,2855.1407026052475
image_emb_509,2855.1088125109673
text_emb_15,2851.9079555273056
image_emb_455,2849.3564103245735
text_emb_30,2847.6709971427917
text_emb_302,2839.8548339903355
image_emb_274,2835.8036962747574
image_emb_40,2831.14156383276
text_emb_38,2824.7334070801735
text_emb_182,2824.332799255848
image_emb_288,2822.8793354034424
text_emb_275,2821.700108408928
text_emb_122,2806.5220524072647
image_emb_1,2801.1264716386795
text_emb_352,2799.7325734496117
text_emb_335,2797.5521322488785
text_emb_80,2795.5061541199684
text_emb_241,2791.9711681604385
text_emb_340,2791.3645254969597
image_emb_280,2780.9831476807594
image_emb_395,2771.3528605103493
text_emb_187,2771.196678876877
image_emb_412,2769.8615218997
text_emb_7,2767.664053350687
text_emb_116,2766.0196729898453
text_emb_59,2764.3580815792084
image_emb_308,2758.9384795427322
image_emb_233,2754.963236749172
image_emb_10,2748.869753599167
image_emb_83,2744.171652972698
image_emb_200,2729.507769525051
text_emb_283,2719.9377673864365
text_emb_20,2719.91875988245
image_emb_7,2703.309269428253
image_emb_26,2687.2086638212204
text_emb_214,2683.8813281059265
image_emb_136,2666.887512266636
image_emb_267,2666.782337665558
text_emb_234,2658.969129860401
text_emb_107,2656.8039605617523
image_emb_166,2651.723314702511
text_emb_264,2647.5395119190216
image_emb_415,2647.3675865530968
text_emb_110,2646.284878075123
text_emb_220,2645.2686697244644
image_emb_251,2635.524855673313
image_emb_500,2634.4456768631935
text_emb_204,2625.9735625982285
image_emb_82,2622.4712426662445
text_emb_317,2622.3690505623817
image_emb_373,2615.951090157032
text_emb_381,2609.373071670532
text_emb_31,2605.175134420395
image_emb_14,2597.6044476628304
text_emb_326,2588.7428080439568
